   tot%      tot#     self%     self#  function
0.00007         1   0.00000         0  toplevel
0.99993     14186   0.00007         1    "doRun"
0.92867     13175   0.00000         0      "setDistance"
0.92867     13175   0.00007         1        "standardGeneric"
0.92867     13175   0.00000         0          "setDistance"
0.92860     13174   0.00000         0            "dist"
0.92860     13174   0.00000         0              "nrow"
0.92860     13174   0.00000         0                "as.matrix"
0.92860     13174   0.00000         0                  "matrix"
0.92860     13174   0.00000         0                    "as.vector"
0.92860     13174   0.00000         0                      "boxcoxplsSummary"
0.92853     13173   0.00014         2                        "summaryStatsLong"
0.92831     13170   0.00007         1                          "fitContinuous.hacked"
0.73307     10400   0.00000         0                            "treedata"
0.73307     10400   0.00656        93                              "is.vector"
0.73307     10400   0.25382      3601                                "convertTaxonFrameToGeigerData"
0.72651     10307   0.05984       849                                  "doSimulation"
0.13068      1854   0.00049         7                                    "timeSinceSpeciation<-"
0.12948      1837   0.00197        28                                      "standardGeneric"
0.12540      1779   0.00063         9                                        "timeSinceSpeciation<-"
0.12483      1771   0.12018      1705                                          "@<-"
0.12420      1762   0.00106        15                                            "slot<-"
0.00402        57   0.00240        34                                              "checkSlotAssignment"
0.00169        24   0.00014         2                                                "elNamed"
0.00014         2   0.00000         0                                                  "match"
0.00106        15   0.00042         6                                                "getClass"
0.00042         6   0.00000         0                                                  ".getClassFromCache"
0.00021         3   0.00000         0                                                ".identC"
0.00359        51   0.00078        11                                        "loadMethod"
0.00219        31   0.00141        20                                          "standardGeneric"
0.00141        20   0.00000         0                                            "loadMethod"
0.12786      1814   0.00070        10                                    "states<-"
0.12702      1802   0.00233        33                                      "standardGeneric"
0.12279      1742   0.00049         7                                        "states<-"
0.12208      1732   0.11701      1660                                          "@<-"
0.12159      1725   0.00148        21                                            "slot<-"
0.00458        65   0.00289        41                                              "checkSlotAssignment"
0.00211        30   0.00000         0                                                "elNamed"
0.00092        13   0.00021         3                                                "getClass"
0.00021         3   0.00000         0                                                  ".getClassFromCache"
0.00007         1   0.00000         0                                                ".identC"
0.00352        50   0.00042         6                                        "loadMethod"
0.00190        27   0.00148        21                                          "standardGeneric"
0.00148        21   0.00000         0                                            "loadMethod"
0.11172      1585   0.00042         6                                    "nextstates<-"
0.11095      1574   0.00197        28                                      "standardGeneric"
0.10785      1530   0.00035         5                                        "nextstates<-"
0.10721      1521   0.10185      1445                                          "@<-"
0.10686      1516   0.00120        17                                            "slot<-"
0.00500        71   0.00310        44                                              "checkSlotAssignment"
0.00211        30   0.00000         0                                                "elNamed"
0.00148        21   0.00070        10                                                "getClass"
0.00070        10   0.00000         0                                                  ".getClassFromCache"
0.00021         3   0.00000         0                                                ".identC"
0.00268        38   0.00028         4                                        "loadMethod"
0.00134        19   0.00106        15                                          "standardGeneric"
0.00106        15   0.00000         0                                            "loadMethod"
0.04828       685   0.00148        21                                    "["
0.00310        44   0.00113        16                                      "[.data.frame"
0.00092        13   0.00000         0                                        "names"
0.00049         7   0.00049         7                                        "vector"
0.00049         7   0.00000         0                                          "length"
0.00021         3   0.00000         0                                        "%in%"
0.02390       339   0.00106        15                                    "states"
0.01917       272   0.00860       122                                      "standardGeneric"
0.01812       257   0.00197        28                                        "loadMethod"
0.00952       135   0.00754       107                                          "standardGeneric"
0.00754       107   0.00000         0                                            "loadMethod"
0.01234       175   0.00028         4                                    "intrinsicFn"
0.00832       118   0.00092        13                                      "rnorm"
0.00804       114   0.00049         7                                        "states"
0.00712       101   0.00331        47                                          "standardGeneric"
0.00663        94   0.00113        16                                            "loadMethod"
0.00331        47   0.00219        31                                              "standardGeneric"
0.00219        31   0.00000         0                                                "loadMethod"
