   tot%      tot#     self%     self#  function
0.10985      4616   0.00088        37  | | | | | | | | | | | | | | | | | | "standardGeneric"
0.10673      4485   0.00069        29  | | | | | | | | | | | | | | | | | | | "nextstates<-"
0.10597      4453   0.00067        28  | | | | | | | | | | | | | | | | | | | | "@<-"
0.10523      4422   0.09897      4159  | | | | | | | | | | | | | | | | | | | | | "slot<-"
0.10454      4393   0.00174        73  | | | | | | | | | | | | | | | | | | | | | | "checkSlotAssignment"
0.00317       133   0.00231        97  | | | | | | | | | | | | | | | | | | | | | | | "elNamed"
0.00124        52   0.00010         4  | | | | | | | | | | | | | | | | | | | | | | | | "match"
0.00010         4   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | "names"
0.00107        45   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | "el"
0.00010         4   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | "is.na"
0.00178        75   0.00057        24  | | | | | | | | | | | | | | | | | | | | | | | "getClass"
0.00114        48   0.00059        25  | | | | | | | | | | | | | | | | | | | | | | | | ".getClassFromCache"
0.00057        24   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | ".Call"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | "is.list"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | "is.null"
0.00064        27   0.00033        14  | | | | | | | | | | | | | | | | | | | | | | | ".identC"
0.00033        14   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | ".Call"
0.00005         2   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | "class"
0.00007         3   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | ".Call"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | "as.character"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | "is.name"
0.00240       101   0.00117        49  | | | | | | | | | | | | | | | | | | | "loadMethod"
0.00228        96   0.00024        10  | | | | | | | | | | | | | | | | | | | | "standardGeneric"
0.00112        47   0.00088        37  | | | | | | | | | | | | | | | | | | | | | "loadMethod"
0.00088        37   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | "assign"
0.05300      2227   0.04845      2036  | | | | | | | | | | | | | | | | | "["
0.05264      2212   0.00186        78  | | | | | | | | | | | | | | | | | | "[.data.frame"
0.00129        54   0.00124        52  | | | | | | | | | | | | | | | | | | | "names"
0.00124        52   0.00000         0  | | | | | | | | | | | | | | | | | | | | "names"
0.00090        38   0.00007         3  | | | | | | | | | | | | | | | | | | | "vector"
0.00071        30   0.00064        27  | | | | | | | | | | | | | | | | | | | | "length"
0.00064        27   0.00000         0  | | | | | | | | | | | | | | | | | | | | | "length"
0.00043        18   0.00029        12  | | | | | | | | | | | | | | | | | | | "%in%"
0.00033        14   0.00007         3  | | | | | | | | | | | | | | | | | | | | "match"
0.00005         2   0.00000         0  | | | | | | | | | | | | | | | | | | | | | "sys.call"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | "names"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | ">"
0.00040        17   0.00000         0  | | | | | | | | | | | | | | | | | | | ".Call"
0.00040        17   0.00000         0  | | | | | | | | | | | | | | | | | | | "attr<-"
0.00012         5   0.00000         0  | | | | | | | | | | | | | | | | | | | ".subset2"
0.00012         5   0.00000         0  | | | | | | | | | | | | | | | | | | | "anyDuplicated"
0.00010         4   0.00000         0  | | | | | | | | | | | | | | | | | | | "=="
0.00007         3   0.00000         0  | | | | | | | | | | | | | | | | | | | "all"
0.00005         2   0.00000         0  | | | | | | | | | | | | | | | | | | | "oldClass<-"
0.00005         2   0.00000         0  | | | | | | | | | | | | | | | | | | | ".subset"
0.00005         2   0.00000         0  | | | | | | | | | | | | | | | | | | | "<"
0.00005         2   0.00000         0  | | | | | | | | | | | | | | | | | | | "any"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | "is.na"
0.00002         1   0.00002         1  | | | | | | | | | | | | | | | | | | | "[["
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | "[[.data.frame"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | "dim"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | "is.null"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | "-"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | "is.character"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | "!="
0.04076      1713   0.00010         4  | | | | | | | | | | | | | | | | | "extrinsicFn"
0.00364       153   0.00064        27  | | | | | | | | | | | | | | | | | | "states"
0.00362       152   0.00017         7  | | | | | | | | | | | | | | | | | | | "standardGeneric"
0.00290       122   0.00129        54  | | | | | | | | | | | | | | | | | | | | "loadMethod"
0.00281       118   0.00031        13  | | | | | | | | | | | | | | | | | | | | | "standardGeneric"
0.00152        64   0.00121        51  | | | | | | | | | | | | | | | | | | | | | | "loadMethod"
0.00121        51   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | "assign"
0.00007         3   0.00000         0  | | | | | | | | | | | | | | | | | | | | "states"
