   tot%      tot#     self%     self#  function
0.00002         1   0.00007         3  toplevel
0.99995     42020   0.00002         1    "doRun"
0.96778     40668   0.00000         0      "setDistance"
0.96778     40668   0.00000         0        "standardGeneric"
0.96778     40668   0.00000         0          "setDistance"
0.96775     40667   0.00000         0            "dist"
0.96775     40667   0.00000         0              "nrow"
0.96775     40667   0.00000         0                "as.matrix"
0.96775     40667   0.00000         0                  "matrix"
0.96775     40667   0.00000         0                    "as.vector"
0.96775     40667   0.00000         0                      "boxcoxplsSummary"
0.96764     40662   0.00010         4                        "summaryStatsLong"
0.96754     40658   0.00019         8                          "fitContinuous.hacked"
0.75032     31530   0.00000         0                            "treedata"
0.75025     31527   0.00864       363                              "is.vector"
0.75025     31527   0.25813     10847                                "convertTaxonFrameToGeigerData"
0.74159     31163   0.06685      2809                                  "doSimulation"
0.12888      5416   0.00105        44                                    "timeSinceSpeciation<-"
0.12784      5372   0.00224        94                                      "standardGeneric"
0.12360      5194   0.00048        20                                        "timeSinceSpeciation<-"
0.12291      5165   0.11732      4930                                          "@<-"
0.12244      5145   0.00167        70                                            "slot<-"
0.00512       215   0.00312       131                                              "checkSlotAssignment"
0.00236        99   0.00005         2                                                "elNamed"
0.00005         2   0.00000         0                                                  "match"
0.00088        37   0.00029        12                                                "getClass"
0.00029        12   0.00000         0                                                  ".getClassFromCache"
0.00021         9   0.00000         0                                                ".identC"
0.00319       134   0.00045        19                                        "loadMethod"
0.00164        69   0.00119        50                                          "standardGeneric"
0.00119        50   0.00000         0                                            "loadMethod"
0.12584      5288   0.00086        36                                    "states<-"
0.12474      5242   0.00250       105                                      "standardGeneric"
0.12094      5082   0.00050        21                                        "states<-"
0.12001      5043   0.11503      4834                                          "@<-"
0.11951      5022   0.00126        53                                            "slot<-"
0.00447       188   0.00269       113                                              "checkSlotAssignment"
0.00209        88   0.00012         5                                                "elNamed"
0.00012         5   0.00000         0                                                  "match"
0.00100        42   0.00040        17                                                "getClass"
0.00040        17   0.00000         0                                                  ".getClassFromCache"
0.00012         5   0.00000         0                                                ".identC"
0.00295       124   0.00033        14                                        "loadMethod"
0.00138        58   0.00105        44                                          "standardGeneric"
0.00105        44   0.00000         0                                            "loadMethod"
0.10985      4616   0.00088        37                                    "nextstates<-"
0.10913      4586   0.00186        78                                      "standardGeneric"
0.10597      4453   0.00067        28                                        "nextstates<-"
0.10528      4424   0.09897      4159                                          "@<-"
0.10461      4396   0.00174        73                                            "slot<-"
0.00564       237   0.00321       135                                              "checkSlotAssignment"
0.00240       101   0.00010         4                                                "elNamed"
0.00010         4   0.00000         0                                                  "match"
0.00117        49   0.00059        25                                                "getClass"
0.00059        25   0.00000         0                                                  ".getClassFromCache"
0.00033        14   0.00000         0                                                ".identC"
0.00228        96   0.00024        10                                        "loadMethod"
0.00112        47   0.00088        37                                          "standardGeneric"
0.00088        37   0.00000         0                                            "loadMethod"
0.05264      2212   0.00186        78                                    "["
0.00419       176   0.00162        68                                      "[.data.frame"
0.00124        52   0.00000         0                                        "names"
0.00071        30   0.00064        27                                        "vector"
0.00064        27   0.00000         0                                          "length"
0.00036        15   0.00007         3                                        "%in%"
0.00007         3   0.00000         0                                          "match"
0.00002         1   0.00000         0                                        "[["
0.03213      1350   0.00171        72                                    "states"
0.02439      1025   0.01052       442                                      "standardGeneric"
0.02268       953   0.00290       122                                        "loadMethod"
0.01216       511   0.00926       389                                          "standardGeneric"
0.00926       389   0.00000         0                                            "loadMethod"
0.01340       563   0.00024        10                                    "intrinsicFn"
0.00923       388   0.00259       109                                      "rnorm"
0.00900       378   0.00055        23                                        "states"
0.00640       269   0.00319       134                                          "standardGeneric"
0.00585       246   0.00062        26                                            "loadMethod"
0.00267       112   0.00205        86                                              "standardGeneric"
0.00205        86   0.00000         0                                                "loadMethod"
0.00826       347   0.00133        56                                    "matrix"
0.00678       285   0.00048        20                                      "states"
0.00545       229   0.00247       104                                        "standardGeneric"
0.00497       209   0.00074        31                                          "loadMethod"
0.00250       105   0.00176        74                                            "standardGeneric"
0.00176        74   0.00000         0                                              "loadMethod"
0.00466       196   0.00026        11                                    "timeSinceSpeciation"
0.00374       157   0.00190        80                                      "standardGeneric"
0.00347       146   0.00043        18                                        "loadMethod"
0.00157        66   0.00114        48                                          "standardGeneric"
0.00114        48   0.00000         0                                            "loadMethod"
0.00371       156   0.00064        27                                    "extrinsicFn"
0.00362       152   0.00017         7                                      "states"
0.00297       125   0.00129        54                                        "standardGeneric"
0.00281       118   0.00031        13                                          "loadMethod"
0.00152        64   0.00121        51                                            "standardGeneric"
0.00121        51   0.00000         0                                              "loadMethod"
0.00352       148   0.00014         6                                    "nextstates"
0.00240       101   0.00109        46                                      "standardGeneric"
0.00226        95   0.00033        14                                        "loadMethod"
0.00117        49   0.00083        35                                          "standardGeneric"
0.00083        35   0.00000         0                                            "loadMethod"
0.00036        15   0.00000         0                                    "id<-"
0.00036        15   0.00000         0                                      "standardGeneric"
0.00036        15   0.00000         0                                        "id<-"
0.00036        15   0.00000         0                                          "@<-"
0.00036        15   0.00000         0                                            "slot<-"
0.00036        15   0.00002         1                                              "checkSlotAssignment"
0.00033        14   0.00012         5                                                "as"
0.00024        10   0.00000         0                                                  ".classEnv"
0.00014         6   0.00002         1                                                    ".requirePackage"
0.00012         5   0.00000         0                                                      "%in%"
0.00012         5   0.00000         0                                                        "match"
0.00012         5   0.00002         1                                                          "loadedNamespaces"
0.00012         5   0.00000         0                                                            "ls"
0.00010         4   0.00000         0                                                              "try"
0.00010         4   0.00010         4                                                                "tryCatch"
0.00010         4   0.00000         0                                                                  "tryCatchList"
0.00002         1   0.00000         0                                                      "getNamespace"
0.00010         4   0.00002         1                                                  "getGeneric"
0.00007         3   0.00005         2                                                    ".getGeneric"
0.00002         1   0.00000         0                                                      "%in%"
0.00002         1   0.00000         0                                                      ".cacheGeneric"
0.00002         1   0.00000         0                                                "getClass"
0.00010         4   0.00007         3                                    "summarizeTaxonStates"
0.00007         3   0.00000         0                                      "data.frame"
0.00002         1   0.00000         0                                        "as.data.frame"
0.00002         1   0.00000         0                                          "as.data.frame.character"
0.00002         1   0.00000         0                                            "factor"
0.00002         1   0.00000         0                                              "sort.list"
0.00002         1   0.00000         0                                                "match.arg"
0.00002         1   0.00002         1                                                  "eval"
0.00002         1   0.00000         0                                                    "deparse"
0.00002         1   0.00000         0                                      "name"
0.00007         3   0.00000         0                                    "new"
0.00007         3   0.00000         0                                      "initialize"
0.00007         3   0.00002         1                                        "standardGeneric"
0.00007         3   0.00000         0                                          "initialize"
0.00002         1   0.00000         0                                            "validObject"
0.00002         1   0.00000         0                                              "try"
0.00002         1   0.00002         1                                                "tryCatch"
0.00002         1   0.00000         0                                                  "tryCatchList"
0.00002         1   0.00000         0                                            "as"
0.00002         1   0.00000         0                                              "getGeneric"
0.00002         1   0.00002         1                                                ".getGeneric"
0.00002         1   0.00000         0                                                  ".cacheGeneric"
0.00005         2   0.00000         0                                    "warning"
0.00002         1   0.00002         1                                      ".makeMessage"
0.00002         1   0.00000         0                                        "lapply"
0.00002         1   0.00000         0                                      ".signalSimpleWarning"
0.00002         1   0.00000         0                                        "withRestarts"
0.00002         1   0.00002         1                                          "makeRestartList"
0.00002         1   0.00000         0                                            "makeRestart"
0.00002         1   0.00000         0                                    "id"
0.00002         1   0.00000         0                                  "data.frame"
0.00005         2   0.00005         2                              "as.matrix"
0.00005         2   0.00000         0                                "["
0.00002         1   0.00000         0                              "rownames"
0.00002         1   0.00000         0                                "dimnames"
0.00002         1   0.00002         1                                  "dimnames"
0.00002         1   0.00000         0                                    "dimnames.data.frame"
